"","Negative","No Change","Positive","Node","Region","Model","Experiment","Climate scenario","Net Prediction"
"318",27.84,0,72.16,"Predation risk","Low-lat shelf","Evidenced","Future climate","C",44.32
"319",54.98,0,45.02,"Sea-ice algae","Low-lat shelf","Evidenced","Future climate","C",-9.96
"320",50.34,0,49.66,"Sea-ice concentration","Low-lat shelf","Evidenced","Future climate","C",-0.68
"321",27.22,0,72.78,"Sea-ice convergence","Low-lat shelf","Evidenced","Future climate","C",45.56
"322",26.52,0,73.48,"Sea-ice thickness","Low-lat shelf","Evidenced","Future climate","C",46.96
"323",63.24,0,36.76,"Small copepods","Low-lat shelf","Evidenced","Future climate","C",-26.48
"324",53.38,0,46.62,"Small pelagic algae","Low-lat shelf","Evidenced","Future climate","C",-6.76000000000001
"325",0,100,0,"Snow","Low-lat shelf","Evidenced","Future climate","C",0
"326",100,0,0,"Depth","Low-lat shelf","Evidenced","Future climate","C",-100
"327",100,0,0,"Latitude","Low-lat shelf","Evidenced","Future climate","C",-100
"328",0,0,100,"Autumn primary production","Low-lat shelf","Evidenced","Future climate","C",100
"329",100,0,0,"Temperature","Low-lat shelf","Evidenced","Future climate","C",-100
"330",0,0,100,"Wind stress","Low-lat shelf","Evidenced","Future climate","C",100
"331",38.98,0,61.02,"Growth","Low-lat shelf","Evidenced","Future climate","D",22.04
"332",43.78,0,56.22,"Survival","Low-lat shelf","Evidenced","Future climate","D",12.44
"333",44.94,0,55.06,"DMS","Low-lat shelf","Evidenced","Future climate","D",10.12
"334",100,0,0,"Glacial melt","Low-lat shelf","Evidenced","Future climate","D",-100
"335",27.22,0,72.78,"Ice terraces","Low-lat shelf","Evidenced","Future climate","D",45.56
"336",40.8,0,59.2,"Large pelagic algae","Low-lat shelf","Evidenced","Future climate","D",18.4
"337",74.4,0,25.6,"Light","Low-lat shelf","Evidenced","Future climate","D",-48.8
"338",67.36,0,32.64,"Marine snow","Low-lat shelf","Evidenced","Future climate","D",-34.72
"339",15.1,0,84.9,"MLD","Low-lat shelf","Evidenced","Future climate","D",69.8
"340",9.06,0,90.94,"Nutrients","Low-lat shelf","Evidenced","Future climate","D",81.88
"341",52.46,0,47.54,"Other grazers (competition)","Low-lat shelf","Evidenced","Future climate","D",-4.91999999999999
"342",50.48,0,49.52,"POM","Low-lat shelf","Evidenced","Future climate","D",-0.960000000000008
"343",43.78,0,56.22,"Predation risk","Low-lat shelf","Evidenced","Future climate","D",12.44
"344",53.24,0,46.76,"Sea-ice algae","Low-lat shelf","Evidenced","Future climate","D",-6.47999999999999
"345",50.34,0,49.66,"Sea-ice concentration","Low-lat shelf","Evidenced","Future climate","D",-0.68
"346",27.22,0,72.78,"Sea-ice convergence","Low-lat shelf","Evidenced","Future climate","D",45.56
"347",26.52,0,73.48,"Sea-ice thickness","Low-lat shelf","Evidenced","Future climate","D",46.96
"348",65.12,0,34.88,"Small copepods","Low-lat shelf","Evidenced","Future climate","D",-30.24
"349",53.24,0,46.76,"Small pelagic algae","Low-lat shelf","Evidenced","Future climate","D",-6.47999999999999
"350",0,100,0,"Snow","Low-lat shelf","Evidenced","Future climate","D",0
"351",100,0,0,"Depth","Low-lat shelf","Evidenced","Future climate","D",-100
"352",100,0,0,"Latitude","Low-lat shelf","Evidenced","Future climate","D",-100
"353",100,0,0,"Autumn primary production","Low-lat shelf","Evidenced","Future climate","D",-100
"354",100,0,0,"Temperature","Low-lat shelf","Evidenced","Future climate","D",-100
"355",0,0,100,"Wind stress","Low-lat shelf","Evidenced","Future climate","D",100
"356",47.54,0,52.46,"Growth","Open ocean","+ Hypothesised","Future climate","A",4.91999999999999
"357",37.46,0,62.54,"Survival","Open ocean","+ Hypothesised","Future climate","A",25.08
"358",37.72,0,62.28,"DMS","Open ocean","+ Hypothesised","Future climate","A",24.56
"359",49.9,0,50.1,"Ice terraces","Open ocean","+ Hypothesised","Future climate","A",0.200000000000003
"360",44.42,0,55.58,"Large pelagic algae","Open ocean","+ Hypothesised","Future climate","A",11.16
"361",44.54,0,55.46,"Light","Open ocean","+ Hypothesised","Future climate","A",10.92
"362",28.72,0,71.28,"Marine snow","Open ocean","+ Hypothesised","Future climate","A",42.56
"363",0,0,100,"MLD","Open ocean","+ Hypothesised","Future climate","A",100
"364",29.14,0,70.86,"Nutrients","Open ocean","+ Hypothesised","Future climate","A",41.72
"365",26.14,0,73.86,"Other grazers (competition)","Open ocean","+ Hypothesised","Future climate","A",47.72
"366",55.92,0,44.08,"POM","Open ocean","+ Hypothesised","Future climate","A",-11.84
"367",38.28,0,61.72,"Predation risk","Open ocean","+ Hypothesised","Future climate","A",23.44
"368",41.34,0,58.66,"Sea-ice algae","Open ocean","+ Hypothesised","Future climate","A",17.32
"369",100,0,0,"Sea-ice concentration","Open ocean","+ Hypothesised","Future climate","A",-100
"370",49.9,0,50.1,"Sea-ice convergence","Open ocean","+ Hypothesised","Future climate","A",0.200000000000003
"371",78.7,0,21.3,"Sea-ice thickness","Open ocean","+ Hypothesised","Future climate","A",-57.4
"372",33.74,0,66.26,"Small copepods","Open ocean","+ Hypothesised","Future climate","A",32.52
"373",44.1,0,55.9,"Small pelagic algae","Open ocean","+ Hypothesised","Future climate","A",11.8
"374",0,100,0,"Snow","Open ocean","+ Hypothesised","Future climate","A",0
"375",0,0,100,"Depth","Open ocean","+ Hypothesised","Future climate","A",100
"376",100,0,0,"Latitude","Open ocean","+ Hypothesised","Future climate","A",-100
"377",0,0,100,"Autumn primary production","Open ocean","+ Hypothesised","Future climate","A",100
"378",0,0,100,"Temperature","Open ocean","+ Hypothesised","Future climate","A",100
"379",0,0,100,"Wind stress","Open ocean","+ Hypothesised","Future climate","A",100
"380",54.82,0,45.18,"Growth","Open ocean","+ Hypothesised","Future climate","B",-9.64
"381",62.02,0,37.98,"Survival","Open ocean","+ Hypothesised","Future climate","B",-24.04
"382",43.44,0,56.56,"DMS","Open ocean","+ Hypothesised","Future climate","B",13.12
"383",49.9,0,50.1,"Ice terraces","Open ocean","+ Hypothesised","Future climate","B",0.200000000000003
"384",44.62,0,55.38,"Large pelagic algae","Open ocean","+ Hypothesised","Future climate","B",10.76
"385",39.92,0,60.08,"Light","Open ocean","+ Hypothesised","Future climate","B",20.16
"386",42.8,0,57.2,"Marine snow","Open ocean","+ Hypothesised","Future climate","B",14.4
"387",0,0,100,"MLD","Open ocean","+ Hypothesised","Future climate","B",100
"388",29.14,0,70.86,"Nutrients","Open ocean","+ Hypothesised","Future climate","B",41.72
"389",31.66,0,68.34,"Other grazers (competition)","Open ocean","+ Hypothesised","Future climate","B",36.68
"390",35,0,65,"POM","Open ocean","+ Hypothesised","Future climate","B",30
"391",59.6,0,40.4,"Predation risk","Open ocean","+ Hypothesised","Future climate","B",-19.2
"392",40.64,0,59.36,"Sea-ice algae","Open ocean","+ Hypothesised","Future climate","B",18.72
"393",100,0,0,"Sea-ice concentration","Open ocean","+ Hypothesised","Future climate","B",-100
"394",49.9,0,50.1,"Sea-ice convergence","Open ocean","+ Hypothesised","Future climate","B",0.200000000000003
"395",78.7,0,21.3,"Sea-ice thickness","Open ocean","+ Hypothesised","Future climate","B",-57.4
"396",47.82,0,52.18,"Small copepods","Open ocean","+ Hypothesised","Future climate","B",4.36000000000001
"397",50.48,0,49.52,"Small pelagic algae","Open ocean","+ Hypothesised","Future climate","B",-0.960000000000008
"398",0,100,0,"Snow","Open ocean","+ Hypothesised","Future climate","B",0
"399",0,0,100,"Depth","Open ocean","+ Hypothesised","Future climate","B",100
"400",100,0,0,"Latitude","Open ocean","+ Hypothesised","Future climate","B",-100
"401",100,0,0,"Autumn primary production","Open ocean","+ Hypothesised","Future climate","B",-100
"402",0,0,100,"Temperature","Open ocean","+ Hypothesised","Future climate","B",100
"403",0,0,100,"Wind stress","Open ocean","+ Hypothesised","Future climate","B",100
"404",79.9,0,20.1,"Growth","Open ocean","+ Hypothesised","Future climate","B.2",-59.8
"405",89.54,0,10.46,"Survival","Open ocean","+ Hypothesised","Future climate","B.2",-79.08
"406",65.72,0,34.28,"DMS","Open ocean","+ Hypothesised","Future climate","B.2",-31.44
"407",46.06,0,53.94,"Large pelagic algae","Open ocean","+ Hypothesised","Future climate","B.2",7.88
"408",36.48,0,63.52,"Light","Open ocean","+ Hypothesised","Future climate","B.2",27.04
"409",35.76,0,64.24,"Marine snow","Open ocean","+ Hypothesised","Future climate","B.2",28.48
"410",0,0,100,"MLD","Open ocean","+ Hypothesised","Future climate","B.2",100
"411",50.7,0,49.3,"Nutrients","Open ocean","+ Hypothesised","Future climate","B.2",-1.40000000000001
"412",37.58,0,62.42,"Other grazers (competition)","Open ocean","+ Hypothesised","Future climate","B.2",24.84
"413",28.9,0,71.1,"POM","Open ocean","+ Hypothesised","Future climate","B.2",42.2
"414",89.54,0,10.46,"Predation risk","Open ocean","+ Hypothesised","Future climate","B.2",-79.08
"415",45.16,0,54.84,"Small copepods","Open ocean","+ Hypothesised","Future climate","B.2",9.68000000000001
"416",68.34,0,31.66,"Small pelagic algae","Open ocean","+ Hypothesised","Future climate","B.2",-36.68
"417",0,100,0,"Snow","Open ocean","+ Hypothesised","Future climate","B.2",0
"418",0,0,100,"Depth","Open ocean","+ Hypothesised","Future climate","B.2",100
"419",100,0,0,"Latitude","Open ocean","+ Hypothesised","Future climate","B.2",-100
"420",100,0,0,"Autumn primary production","Open ocean","+ Hypothesised","Future climate","B.2",-100
"421",0,0,100,"Temperature","Open ocean","+ Hypothesised","Future climate","B.2",100
"422",0,0,100,"Wind stress","Open ocean","+ Hypothesised","Future climate","B.2",100
"423",64.38,0,35.62,"Growth","Open ocean","+ Hypothesised","Future climate","C",-28.76
"424",32.98,0,67.02,"Survival","Open ocean","+ Hypothesised","Future climate","C",34.04
"425",47.42,0,52.58,"DMS","Open ocean","+ Hypothesised","Future climate","C",5.16
"426",0,0,100,"Ice terraces","Open ocean","+ Hypothesised","Future climate","C",100
"427",33.32,0,66.68,"Large pelagic algae","Open ocean","+ Hypothesised","Future climate","C",33.36
"428",80.66,0,19.34,"Light","Open ocean","+ Hypothesised","Future climate","C",-61.32
"429",36.78,0,63.22,"Marine snow","Open ocean","+ Hypothesised","Future climate","C",26.44
"430",49.94,0,50.06,"MLD","Open ocean","+ Hypothesised","Future climate","C",0.120000000000005
"431",74.6,0,25.4,"Nutrients","Open ocean","+ Hypothesised","Future climate","C",-49.2
"432",56.72,0,43.28,"Other grazers (competition)","Open ocean","+ Hypothesised","Future climate","C",-13.44
"433",86.02,0,13.98,"POM","Open ocean","+ Hypothesised","Future climate","C",-72.04
"434",71.22,0,28.78,"Predation risk","Open ocean","+ Hypothesised","Future climate","C",-42.44
"435",85.22,0,14.78,"Sea-ice algae","Open ocean","+ Hypothesised","Future climate","C",-70.44
"436",0,0,100,"Sea-ice concentration","Open ocean","+ Hypothesised","Future climate","C",100
"437",0,0,100,"Sea-ice convergence","Open ocean","+ Hypothesised","Future climate","C",100
"438",0,0,100,"Sea-ice thickness","Open ocean","+ Hypothesised","Future climate","C",100
"439",44.82,0,55.18,"Small copepods","Open ocean","+ Hypothesised","Future climate","C",10.36
"440",63.44,0,36.56,"Small pelagic algae","Open ocean","+ Hypothesised","Future climate","C",-26.88
"441",0,100,0,"Snow","Open ocean","+ Hypothesised","Future climate","C",0
"442",0,0,100,"Depth","Open ocean","+ Hypothesised","Future climate","C",100
"443",100,0,0,"Latitude","Open ocean","+ Hypothesised","Future climate","C",-100
"444",0,0,100,"Autumn primary production","Open ocean","+ Hypothesised","Future climate","C",100
"445",100,0,0,"Temperature","Open ocean","+ Hypothesised","Future climate","C",-100
"446",0,0,100,"Wind stress","Open ocean","+ Hypothesised","Future climate","C",100
"447",70.6,0,29.4,"Growth","Open ocean","+ Hypothesised","Future climate","D",-41.2
"448",53.74,0,46.26,"Survival","Open ocean","+ Hypothesised","Future climate","D",-7.48
"449",52.92,0,47.08,"DMS","Open ocean","+ Hypothesised","Future climate","D",-5.84
"450",0,0,100,"Ice terraces","Open ocean","+ Hypothesised","Future climate","D",100
"451",32.98,0,67.02,"Large pelagic algae","Open ocean","+ Hypothesised","Future climate","D",34.04
"452",77.3,0,22.7,"Light","Open ocean","+ Hypothesised","Future climate","D",-54.6
"453",51.56,0,48.44,"Marine snow","Open ocean","+ Hypothesised","Future climate","D",-3.12
"454",49.94,0,50.06,"MLD","Open ocean","+ Hypothesised","Future climate","D",0.120000000000005
"455",74.6,0,25.4,"Nutrients","Open ocean","+ Hypothesised","Future climate","D",-49.2
"456",62.6,0,37.4,"Other grazers (competition)","Open ocean","+ Hypothesised","Future climate","D",-25.2
"457",70.4,0,29.6,"POM","Open ocean","+ Hypothesised","Future climate","D",-40.8
"458",88.02,0,11.98,"Predation risk","Open ocean","+ Hypothesised","Future climate","D",-76.04
"459",85.2,0,14.8,"Sea-ice algae","Open ocean","+ Hypothesised","Future climate","D",-70.4
"460",0,0,100,"Sea-ice concentration","Open ocean","+ Hypothesised","Future climate","D",100
"461",0,0,100,"Sea-ice convergence","Open ocean","+ Hypothesised","Future climate","D",100
"462",0,0,100,"Sea-ice thickness","Open ocean","+ Hypothesised","Future climate","D",100
"463",58.08,0,41.92,"Small copepods","Open ocean","+ Hypothesised","Future climate","D",-16.16
"464",69.74,0,30.26,"Small pelagic algae","Open ocean","+ Hypothesised","Future climate","D",-39.48
"465",0,100,0,"Snow","Open ocean","+ Hypothesised","Future climate","D",0
"466",0,0,100,"Depth","Open ocean","+ Hypothesised","Future climate","D",100
"467",100,0,0,"Latitude","Open ocean","+ Hypothesised","Future climate","D",-100
"468",100,0,0,"Autumn primary production","Open ocean","+ Hypothesised","Future climate","D",-100
"469",100,0,0,"Temperature","Open ocean","+ Hypothesised","Future climate","D",-100
"470",0,0,100,"Wind stress","Open ocean","+ Hypothesised","Future climate","D",100
"471",57.96,0,42.04,"Growth","High-lat shelf","+ Hypothesised","Future climate","A",-15.92
"472",49.54,0,50.46,"Survival","High-lat shelf","+ Hypothesised","Future climate","A",0.920000000000009
"473",47.92,0,52.08,"DMS","High-lat shelf","+ Hypothesised","Future climate","A",4.16
"474",0,0,100,"Glacial melt","High-lat shelf","+ Hypothesised","Future climate","A",100
"475",23.38,0,76.62,"Ice terraces","High-lat shelf","+ Hypothesised","Future climate","A",53.24
"476",50.02,0,49.98,"Large pelagic algae","High-lat shelf","+ Hypothesised","Future climate","A",-0.039999999999992
"477",64.96,0,35.04,"Light","High-lat shelf","+ Hypothesised","Future climate","A",-29.92
"478",50.3,0,49.7,"Marine snow","High-lat shelf","+ Hypothesised","Future climate","A",-0.599999999999994
"479",47.6,0,52.4,"MLD","High-lat shelf","+ Hypothesised","Future climate","A",4.80000000000001
"480",28.08,0,71.92,"Nutrients","High-lat shelf","+ Hypothesised","Future climate","A",43.84
"481",38.92,0,61.08,"Other grazers (competition)","High-lat shelf","+ Hypothesised","Future climate","A",22.16
"482",53.28,0,46.72,"POM","High-lat shelf","+ Hypothesised","Future climate","A",-6.56000000000001
"483",58.66,0,41.34,"Predation risk","High-lat shelf","+ Hypothesised","Future climate","A",-17.32
"484",54.2,0,45.8,"Sea-ice algae","High-lat shelf","+ Hypothesised","Future climate","A",-8.4
"485",50.56,0,49.44,"Sea-ice concentration","High-lat shelf","+ Hypothesised","Future climate","A",-1.12
"486",23.38,0,76.62,"Sea-ice convergence","High-lat shelf","+ Hypothesised","Future climate","A",53.24
"487",45.24,0,54.76,"Sea-ice thickness","High-lat shelf","+ Hypothesised","Future climate","A",9.52
"488",44.92,0,55.08,"Small copepods","High-lat shelf","+ Hypothesised","Future climate","A",10.16
"489",49.38,0,50.62,"Small pelagic algae","High-lat shelf","+ Hypothesised","Future climate","A",1.23999999999999
"490",0,100,0,"Snow","High-lat shelf","+ Hypothesised","Future climate","A",0
"491",100,0,0,"Depth","High-lat shelf","+ Hypothesised","Future climate","A",-100
"492",0,0,100,"Latitude","High-lat shelf","+ Hypothesised","Future climate","A",100
"493",0,0,100,"Autumn primary production","High-lat shelf","+ Hypothesised","Future climate","A",100
"494",0,0,100,"Temperature","High-lat shelf","+ Hypothesised","Future climate","A",100
"495",0,0,100,"Wind stress","High-lat shelf","+ Hypothesised","Future climate","A",100
"496",58.08,0,41.92,"Growth","High-lat shelf","+ Hypothesised","Future climate","B",-16.16
"497",67.92,0,32.08,"Survival","High-lat shelf","+ Hypothesised","Future climate","B",-35.84
"498",53.64,0,46.36,"DMS","High-lat shelf","+ Hypothesised","Future climate","B",-7.28
"499",0,0,100,"Glacial melt","High-lat shelf","+ Hypothesised","Future climate","B",100
"500",23.38,0,76.62,"Ice terraces","High-lat shelf","+ Hypothesised","Future climate","B",53.24
"501",51.96,0,48.04,"Large pelagic algae","High-lat shelf","+ Hypothesised","Future climate","B",-3.91999999999999
"502",60.38,0,39.62,"Light","High-lat shelf","+ Hypothesised","Future climate","B",-20.76
"503",60.38,0,39.62,"Marine snow","High-lat shelf","+ Hypothesised","Future climate","B",-20.76
"504",47.6,0,52.4,"MLD","High-lat shelf","+ Hypothesised","Future climate","B",4.80000000000001
"505",28.08,0,71.92,"Nutrients","High-lat shelf","+ Hypothesised","Future climate","B",43.84
"506",43.9,0,56.1,"Other grazers (competition)","High-lat shelf","+ Hypothesised","Future climate","B",12.2
"507",39.5,0,60.5,"POM","High-lat shelf","+ Hypothesised","Future climate","B",21
"508",74.84,0,25.16,"Predation risk","High-lat shelf","+ Hypothesised","Future climate","B",-49.68
"509",53.6,0,46.4,"Sea-ice algae","High-lat shelf","+ Hypothesised","Future climate","B",-7.2
"510",50.56,0,49.44,"Sea-ice concentration","High-lat shelf","+ Hypothesised","Future climate","B",-1.12
"511",23.38,0,76.62,"Sea-ice convergence","High-lat shelf","+ Hypothesised","Future climate","B",53.24
"512",45.24,0,54.76,"Sea-ice thickness","High-lat shelf","+ Hypothesised","Future climate","B",9.52
"513",51.86,0,48.14,"Small copepods","High-lat shelf","+ Hypothesised","Future climate","B",-3.71999999999999
"514",52.76,0,47.24,"Small pelagic algae","High-lat shelf","+ Hypothesised","Future climate","B",-5.52
"515",0,100,0,"Snow","High-lat shelf","+ Hypothesised","Future climate","B",0
"516",100,0,0,"Depth","High-lat shelf","+ Hypothesised","Future climate","B",-100
"517",0,0,100,"Latitude","High-lat shelf","+ Hypothesised","Future climate","B",100
"518",100,0,0,"Autumn primary production","High-lat shelf","+ Hypothesised","Future climate","B",-100
"519",0,0,100,"Temperature","High-lat shelf","+ Hypothesised","Future climate","B",100
"520",0,0,100,"Wind stress","High-lat shelf","+ Hypothesised","Future climate","B",100
"521",76.52,0,23.48,"Growth","High-lat shelf","+ Hypothesised","Future climate","B.2",-53.04
"522",90.18,0,9.82,"Survival","High-lat shelf","+ Hypothesised","Future climate","B.2",-80.36
"523",59.94,0,40.06,"DMS","High-lat shelf","+ Hypothesised","Future climate","B.2",-19.88
"524",0,0,100,"Glacial melt","High-lat shelf","+ Hypothesised","Future climate","B.2",100
"525",59.52,0,40.48,"Large pelagic algae","High-lat shelf","+ Hypothesised","Future climate","B.2",-19.04
"526",58.92,0,41.08,"Light","High-lat shelf","+ Hypothesised","Future climate","B.2",-17.84
"527",57.84,0,42.16,"Marine snow","High-lat shelf","+ Hypothesised","Future climate","B.2",-15.68
"528",49.44,0,50.56,"MLD","High-lat shelf","+ Hypothesised","Future climate","B.2",1.12
"529",15.18,0,84.82,"Nutrients","High-lat shelf","+ Hypothesised","Future climate","B.2",69.64
"530",42.58,0,57.42,"Other grazers (competition)","High-lat shelf","+ Hypothesised","Future climate","B.2",14.84
"531",13.34,0,86.66,"POM","High-lat shelf","+ Hypothesised","Future climate","B.2",73.32
"532",90.18,0,9.82,"Predation risk","High-lat shelf","+ Hypothesised","Future climate","B.2",-80.36
"533",65.78,0,34.22,"Small copepods","High-lat shelf","+ Hypothesised","Future climate","B.2",-31.56
"534",50.86,0,49.14,"Small pelagic algae","High-lat shelf","+ Hypothesised","Future climate","B.2",-1.72000000000001
"535",0,100,0,"Snow","High-lat shelf","+ Hypothesised","Future climate","B.2",0
"536",100,0,0,"Depth","High-lat shelf","+ Hypothesised","Future climate","B.2",-100
"537",0,0,100,"Latitude","High-lat shelf","+ Hypothesised","Future climate","B.2",100
"538",100,0,0,"Autumn primary production","High-lat shelf","+ Hypothesised","Future climate","B.2",-100
"539",0,0,100,"Temperature","High-lat shelf","+ Hypothesised","Future climate","B.2",100
"540",0,0,100,"Wind stress","High-lat shelf","+ Hypothesised","Future climate","B.2",100
"541",47.74,0,52.26,"Growth","High-lat shelf","+ Hypothesised","Future climate","C",4.52
"542",29.62,0,70.38,"Survival","High-lat shelf","+ Hypothesised","Future climate","C",40.76
"543",47.5,0,52.5,"DMS","High-lat shelf","+ Hypothesised","Future climate","C",5
"544",100,0,0,"Glacial melt","High-lat shelf","+ Hypothesised","Future climate","C",-100
"545",27.78,0,72.22,"Ice terraces","High-lat shelf","+ Hypothesised","Future climate","C",44.44
"546",39.64,0,60.36,"Large pelagic algae","High-lat shelf","+ Hypothesised","Future climate","C",20.72
"547",81.48,0,18.52,"Light","High-lat shelf","+ Hypothesised","Future climate","C",-62.96
"548",57.84,0,42.16,"Marine snow","High-lat shelf","+ Hypothesised","Future climate","C",-15.68
"549",15.88,0,84.12,"MLD","High-lat shelf","+ Hypothesised","Future climate","C",68.24
"550",16.1,0,83.9,"Nutrients","High-lat shelf","+ Hypothesised","Future climate","C",67.8
"551",54.1,0,45.9,"Other grazers (competition)","High-lat shelf","+ Hypothesised","Future climate","C",-8.2
"552",66.18,0,33.82,"POM","High-lat shelf","+ Hypothesised","Future climate","C",-32.36
"553",37.44,0,62.56,"Predation risk","High-lat shelf","+ Hypothesised","Future climate","C",25.12
"554",62.78,0,37.22,"Sea-ice algae","High-lat shelf","+ Hypothesised","Future climate","C",-25.56
"555",49.44,0,50.56,"Sea-ice concentration","High-lat shelf","+ Hypothesised","Future climate","C",1.12
"556",27.78,0,72.22,"Sea-ice convergence","High-lat shelf","+ Hypothesised","Future climate","C",44.44
"557",27.92,0,72.08,"Sea-ice thickness","High-lat shelf","+ Hypothesised","Future climate","C",44.16
"558",59.1,0,40.9,"Small copepods","High-lat shelf","+ Hypothesised","Future climate","C",-18.2
"559",58.12,0,41.88,"Small pelagic algae","High-lat shelf","+ Hypothesised","Future climate","C",-16.24
"560",0,100,0,"Snow","High-lat shelf","+ Hypothesised","Future climate","C",0
"561",100,0,0,"Depth","High-lat shelf","+ Hypothesised","Future climate","C",-100
"562",0,0,100,"Latitude","High-lat shelf","+ Hypothesised","Future climate","C",100
"563",0,0,100,"Autumn primary production","High-lat shelf","+ Hypothesised","Future climate","C",100
"564",100,0,0,"Temperature","High-lat shelf","+ Hypothesised","Future climate","C",-100
"565",0,0,100,"Wind stress","High-lat shelf","+ Hypothesised","Future climate","C",100
"566",48.04,0,51.96,"Growth","High-lat shelf","+ Hypothesised","Future climate","D",3.91999999999999
"567",45.98,0,54.02,"Survival","High-lat shelf","+ Hypothesised","Future climate","D",8.04000000000001
"568",52.74,0,47.26,"DMS","High-lat shelf","+ Hypothesised","Future climate","D",-5.47999999999999
"569",100,0,0,"Glacial melt","High-lat shelf","+ Hypothesised","Future climate","D",-100
"570",27.78,0,72.22,"Ice terraces","High-lat shelf","+ Hypothesised","Future climate","D",44.44
"571",41.44,0,58.56,"Large pelagic algae","High-lat shelf","+ Hypothesised","Future climate","D",17.12
"572",79,0,21,"Light","High-lat shelf","+ Hypothesised","Future climate","D",-58
"573",66.14,0,33.86,"Marine snow","High-lat shelf","+ Hypothesised","Future climate","D",-32.28
"574",15.88,0,84.12,"MLD","High-lat shelf","+ Hypothesised","Future climate","D",68.24
"575",16.1,0,83.9,"Nutrients","High-lat shelf","+ Hypothesised","Future climate","D",67.8
"576",59.2,0,40.8,"Other grazers (competition)","High-lat shelf","+ Hypothesised","Future climate","D",-18.4
"577",53.7,0,46.3,"POM","High-lat shelf","+ Hypothesised","Future climate","D",-7.4
"578",53.56,0,46.44,"Predation risk","High-lat shelf","+ Hypothesised","Future climate","D",-7.12
"579",61.96,0,38.04,"Sea-ice algae","High-lat shelf","+ Hypothesised","Future climate","D",-23.92
"580",49.44,0,50.56,"Sea-ice concentration","High-lat shelf","+ Hypothesised","Future climate","D",1.12
"581",27.78,0,72.22,"Sea-ice convergence","High-lat shelf","+ Hypothesised","Future climate","D",44.44
"582",27.92,0,72.08,"Sea-ice thickness","High-lat shelf","+ Hypothesised","Future climate","D",44.16
"583",65.1,0,34.9,"Small copepods","High-lat shelf","+ Hypothesised","Future climate","D",-30.2
"584",60.74,0,39.26,"Small pelagic algae","High-lat shelf","+ Hypothesised","Future climate","D",-21.48
"585",0,100,0,"Snow","High-lat shelf","+ Hypothesised","Future climate","D",0
"586",100,0,0,"Depth","High-lat shelf","+ Hypothesised","Future climate","D",-100
"587",0,0,100,"Latitude","High-lat shelf","+ Hypothesised","Future climate","D",100
"588",100,0,0,"Autumn primary production","High-lat shelf","+ Hypothesised","Future climate","D",-100
"589",100,0,0,"Temperature","High-lat shelf","+ Hypothesised","Future climate","D",-100
"590",0,0,100,"Wind stress","High-lat shelf","+ Hypothesised","Future climate","D",100
"591",52.5,0,47.5,"Growth","Low-lat shelf","+ Hypothesised","Future climate","A",-5
"592",45.66,0,54.34,"Survival","Low-lat shelf","+ Hypothesised","Future climate","A",8.67999999999999
"593",39.64,0,60.36,"DMS","Low-lat shelf","+ Hypothesised","Future climate","A",20.72
"594",0,0,100,"Glacial melt","Low-lat shelf","+ Hypothesised","Future climate","A",100
"595",23.38,0,76.62,"Ice terraces","Low-lat shelf","+ Hypothesised","Future climate","A",53.24
"596",47.96,0,52.04,"Large pelagic algae","Low-lat shelf","+ Hypothesised","Future climate","A",4.08
"597",53.6,0,46.4,"Light","Low-lat shelf","+ Hypothesised","Future climate","A",-7.2
"598",51.08,0,48.92,"Marine snow","Low-lat shelf","+ Hypothesised","Future climate","A",-2.16
"599",47.6,0,52.4,"MLD","Low-lat shelf","+ Hypothesised","Future climate","A",4.80000000000001
"600",28.08,0,71.92,"Nutrients","Low-lat shelf","+ Hypothesised","Future climate","A",43.84
"601",32.06,0,67.94,"Other grazers (competition)","Low-lat shelf","+ Hypothesised","Future climate","A",35.88
"602",51.16,0,48.84,"POM","Low-lat shelf","+ Hypothesised","Future climate","A",-2.32
"603",55.08,0,44.92,"Predation risk","Low-lat shelf","+ Hypothesised","Future climate","A",-10.16
"604",47.38,0,52.62,"Sea-ice algae","Low-lat shelf","+ Hypothesised","Future climate","A",5.23999999999999
"605",50.56,0,49.44,"Sea-ice concentration","Low-lat shelf","+ Hypothesised","Future climate","A",-1.12
"606",23.38,0,76.62,"Sea-ice convergence","Low-lat shelf","+ Hypothesised","Future climate","A",53.24
"607",45.24,0,54.76,"Sea-ice thickness","Low-lat shelf","+ Hypothesised","Future climate","A",9.52
"608",42.84,0,57.16,"Small copepods","Low-lat shelf","+ Hypothesised","Future climate","A",14.32
"609",43.98,0,56.02,"Small pelagic algae","Low-lat shelf","+ Hypothesised","Future climate","A",12.04
"610",0,100,0,"Snow","Low-lat shelf","+ Hypothesised","Future climate","A",0
"611",100,0,0,"Depth","Low-lat shelf","+ Hypothesised","Future climate","A",-100
"612",100,0,0,"Latitude","Low-lat shelf","+ Hypothesised","Future climate","A",-100
"613",0,0,100,"Autumn primary production","Low-lat shelf","+ Hypothesised","Future climate","A",100
"614",0,0,100,"Temperature","Low-lat shelf","+ Hypothesised","Future climate","A",100
"615",0,0,100,"Wind stress","Low-lat shelf","+ Hypothesised","Future climate","A",100
"616",52.6,0,47.4,"Growth","Low-lat shelf","+ Hypothesised","Future climate","B",-5.2
"617",64.46,0,35.54,"Survival","Low-lat shelf","+ Hypothesised","Future climate","B",-28.92
